"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_39_MemoryAccess.sumArray","avgt",1,5,4.706796,0.081535,"ms/op"
"org.sample.JMHSample_39_MemoryAccess.sumArrayList","avgt",1,5,24.942259,2.596175,"ms/op"
"org.sample.JMHSample_39_MemoryAccess.sumArrayListShuffled","avgt",1,5,185.293517,12.165156,"ms/op"
