"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_37_CacheAccess.colFirst","avgt",1,5,6.176749,3.034133,"ns/op"
"org.sample.JMHSample_37_CacheAccess.rowFirst","avgt",1,5,0.272894,0.019907,"ns/op"
