"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit"
"org.sample.JMHSample_11_Loops.measureRight","avgt",1,5,0.644160,0.795284,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_1","avgt",1,5,0.597107,0.790960,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_10","avgt",1,5,0.054193,0.003311,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_100","avgt",1,5,0.021440,0.001319,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_1000","avgt",1,5,0.026381,0.001271,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_10000","avgt",1,5,0.018676,0.000636,"ns/op"
"org.sample.JMHSample_11_Loops.measureWrong_100000","avgt",1,5,0.018143,0.000264,"ns/op"
